assy :
HOIST LESS POS 4 FAULT STAND HANDLE BESAR TIDAK ROBOH STAND NO 6 DAN 9

block :

LISTRIK TRIP MC IMI 034 TIMBUL ALARM CNC FAULT	64,4 min
-IDR 47 MASTER ON MATI (MOTOR KANAN RR TIDAK BERPUTAR) (58.65)	58,7 min
ITS 15 LIFTER UP FAULT (58.65)	58,7 min
LISTRIK TRIP IMI 034 TIMBUL ALARM CNC FAULU	58,7 min
-IBR29 HIGH PRESS COOLANT FAULT COKOTAI (13.8) -IDR 50 NC FAULT (6.9) -IDR 47 MASTER ON MATI (33.35)	54,1 min
IBR 19 POMPA OLI HIDROLIK NOISE OLI HABIS (51.75)	51,8 min
LISTRIK TRIP IMI 034 TIMBUL CNC ALAR	43,7 min
ISPS 32 TOOL CHANGE TOOL T3 (5.75)	40,3 min
LISTRIK OFF DARI PLN01:13~04:45 PREPARY HOME POSISI MESIN IMI 034 TIMBUL CNC ALARM	36,8 min
IMI 46 LIFTER DOWN TIDAK END BOLT LIFTER PATAH (25.3)	25,3 min
ISPS 37 LS FAULT (23)	23 min
ITS 15 LIFTER UP FAULT (23)	23 min
-IMI 33 STOP GUIDEN WORK BAGIAN BAWAH PATAH (11.5) -ISP 74 MAIN CLAMP SEAT ERROR COKOTAI F1D5X (9.2)	20,7 min
IMI 36 TOOL CHANGE (19.55)	19,6 min
-IAT 33 TIDAK MAU PROSES AUTO (16.1)	16,1 min
-ISPS 31 JIG UN CLAMP FAULT COKOTAI (8.05) -IBR 27 DATUM SEAT FAULT COKOTAI (8.05)	16,1 min
ISPS 37 TOOL INSPECTION OFF FAULT (14.95)	15 min
-IBR 28 MESIN BERHENTI SAAT UNIT MUNDUR (11.5)	11,5 min
-ISP 74 MAIN CLAMP SEAT ERROR (5.75) -IDR 49 TABLE UNCLAMP FAULT (5.75)	11,5 min
IBR 28 CYCLE TIME OVER COKOTAI (11.5)	11,5 min
IBR 29 PART FAULT F1PS1W (11.5)	11,5 min
IDR 61 LOCATING PIN OUT LS OFF FAULT (11.5)	11,5 min
ISP 74 MAIN CLAMP SEAT ERROR (5.75)	11,5 min
ISP 77 AHC CNC ALARM (11.5)	11,5 min
TOOL CHANGE IMI 36 (11.5)	11,5 min
IBR 19 LS PS OFF FAULT (10.35)	10,4 min
IGR 23 MAU SETTING PROGRAM TERKAIT PROBLEM OVER RUN (10.35)	10,4 min
IBR 19 TOOL CHANGE JOURNAL CRANK SIZE NO.1 (4.6)	9,2 min
ISP 078 JIG LOCATIN PIN FAULT	9,2 min
ISPS 32 TOOL CHANGE TOOL T3 (4.6)	9,2 min
IBR 28 CYCLE TIME OVER COKOTAI (8.05)	8,1 min
IBR 29 PART FAULT (8.05)	8,1 min
IDR 71MOTOR SPINDLE OVERLOAD (8.05)	8,1 min
IMI 33 CNC FAULT (8.05)	8,1 min
